Model,auuc,qini,lift_30,krcc,latency_ms
TARNet,0.3643410938944087,0.36190746381336164,13.507069969177246,0.6105050505050506,0.0010768159160826083
TARNet + ZILN,0.3701067058807685,0.36669442763740706,13.417087745666503,0.6116363636363638,0.0022301967970934245
TARNet + ZILN + Focal,0.3672460470106171,0.36441126739158347,13.358626174926759,0.5848080808080809,0.002080271268266666
TARNet + ZILN + Focal + GTI,0.36866739242330326,0.36604026452685845,13.498669052124024,0.6024242424242425,0.0022496420619332854
TARNet + ZILN + Focal + GTI + WR,0.3664789472708144,0.3643482410179443,13.395458030700684,0.6025050505050505,0.002319767324527038
DragonNet,0.36182255517916617,0.3603302418109514,13.322404479980468,0.5960404040404041,0.0018041909685581412
DragonNet + ZILN,0.3678893036178929,0.3649458817523236,13.305359649658204,0.615757575757576,0.0021249790708647827
DragonNet + ZILN + Focal,0.3648408279768805,0.3625239763502267,13.285387802124024,0.5978989898989899,0.00210979379835688
DragonNet + ZILN + Focal + GTI,0.3688451417671942,0.36603142279796613,13.503178787231445,0.5995151515151516,0.0023819329195051225
DragonNet + ZILN + Focal + GTI + WR,0.3636555320764028,0.360265724093498,13.339478492736816,0.6061414141414143,0.0021103076257864345
CFR-MMD,0.36325253562710336,0.36038031632418865,13.376286506652832,0.6244040404040405,0.0009841331766295672
CFR-MMD + ZILN,0.3695574149770994,0.3662718601714209,13.390866661071778,0.6170505050505051,0.0018436591316811502
CFR-MMD + ZILN + Focal,0.3672665586193616,0.3644428102236693,13.34932804107666,0.5884444444444445,0.0017103379230984888
CFR-MMD + ZILN + Focal + GTI,0.36591978684561505,0.36364122967451024,13.395851707458496,0.5541010101010102,0.0018031539106300736
CFR-MMD + ZILN + Focal + GTI + WR,0.3668253449720399,0.3646992062760723,13.377435493469239,0.5676767676767678,0.0023022780199368803
CFR-WASS,0.36619000578757654,0.36378133782630834,13.462913703918456,0.6017777777777777,0.001236045841419904
CFR-WASS + ZILN,0.3739951711768547,0.37065794630415644,13.468722343444824,0.6404848484848487,0.002055837980915864
CFR-WASS + ZILN + Focal,0.37376226580582417,0.37055559853437303,13.531734848022461,0.6094545454545456,0.0018779307277684149
CFR-WASS + ZILN + Focal + GTI,0.37395205817003185,0.3701920525947592,13.568097114562988,0.6307070707070708,0.0020890015793436347
CFR-WASS + ZILN + Focal + GTI + WR,0.373381528131013,0.36959982081022885,13.525153350830077,0.6377373737373738,0.002194067719566252
