Model,auuc_mean,auuc_std,qini_mean,qini_std,lift_30_mean,lift_30_std,krcc_mean,krcc_std,latency_ms_mean,latency_ms_std,val_loss_mean,val_loss_std
TARNet,0.15206729591661286,0.09078849933563538,0.14664025524899665,0.09035072925985259,0.9833065271377563,0.5177604844270732,0.10586960009041575,0.02568877314694944,0.00076603246552395,7.432640622343733e-05,208.76446143256288,0.12243020359118521
TARNet + ZILN,0.05344984141874472,0.09196837564809918,0.05089074812724796,0.09143949862761878,0.6255839765071869,0.34853969290295295,0.0811211823672294,0.026935119348314572,0.0012863581377198985,0.0001680395268608313,1.937113669183519,0.025874294895132603
TARNet + ZILN + Focal,0.04064113982134225,0.10745112246404857,0.038557488524032166,0.10766217291964911,0.6186870276927948,0.32102415185336347,0.05313203568602383,0.05074607345301802,0.0013229496426691648,0.0003228457579430252,1.8320042272408805,0.01882579876777457
TARNet + ZILN + Focal + WR,-0.004938470238492676,0.15974971259185905,-0.0071782135995519135,0.15893648113092904,0.4992065608501434,0.4745854234640471,0.07576871674957882,0.06002747532506013,0.0012978570922928582,0.00038170355602786215,1.8884102437231274,0.02508231340831557
TARNet + ZILN + Focal + GTI,0.13492298300912806,0.10148798615003225,0.13282844485281992,0.1010619674089754,0.7809248089790344,0.4467322273699181,0.0954336667636856,0.03744769098372522,0.001600375689451291,0.0002920449355484846,3.6666189405653213,0.09091365143377678
TARNet + ZILN + Focal + GTI + WR,0.055858274990945256,0.10287280658599247,0.05288002764332924,0.10199249455368592,0.8860007762908936,0.34451274507104984,0.08224114415581159,0.048870546361242925,0.001720272861847541,0.00022368196157314575,3.3661484599113463,0.5653812705289509
TARNet + UpliftRank,0.20180629344736115,0.10640544584892107,0.19808723543877277,0.10592060547521173,1.0371404051780702,0.5272825063232633,0.11392511324227042,0.050370476252225765,0.0007136574322286473,0.00016122598776295598,208.74121921857196,0.09256258867389507
TARNet + ZILN + UpliftRank,0.05494679356880392,0.1163678199319749,0.05269078175005902,0.11554473837459849,0.5115354418754577,0.490447217285835,0.05033061936327439,0.04560712520314675,0.001427198955882909,0.00012204809895258658,1.9396964821550582,0.029161818888987136
TARNet + RespRank,0.11067840400304792,0.10312428940656912,0.10840043377291506,0.10222825820454855,0.7731460094451904,0.32440016777121194,0.08986922611948008,0.042558864737506315,0.0007597376168838289,0.00011599200883304844,209.56964701016744,0.1603631922091378
TARNet + ZILN + RespRank,0.0516722289034948,0.1742950946163834,0.04927584035903671,0.17399175716434057,0.7571971654891968,0.43231315299408946,0.08776969325975245,0.04528837405162874,0.0016260701157831774,0.00031232194135579703,3.856244017018212,0.28843557978786666
