Model,auuc_mean,auuc_std,qini_mean,qini_std,lift_30_mean,lift_30_std,krcc_mean,krcc_std,latency_ms_mean,latency_ms_std,val_loss_mean,val_loss_std
TARNet,-0.04473125482731875,0.14866613311464644,-0.04817659886537274,0.14739296692974221,0.6688079833984375,0.4836234771716794,0.017998351107496407,0.08358522895543796,0.0007306180936651919,8.317746080169588e-05,192.16921079423693,0.06111915878057355
TARNet + ZILN,-0.10136686197819282,0.15555825026796738,-0.10448889831272282,0.15376575055423322,0.3670529007911682,0.44180780802694336,-0.007942167345199985,0.06530011898843525,0.0013588401456989543,0.0001499618024916218,2.345310687356525,0.03110321560342663
TARNet + ZILN + Focal,-0.0203886046902435,0.15390164268087392,-0.02373217192679719,0.15413223823406264,0.6683841526508332,0.5095938508974084,0.025549699758532024,0.07110676633023036,0.001458372655862065,0.00031365422059073927,3.876632730166117,0.07098840757161737
TARNet + ZILN + Focal + WR,0.08083866198207564,0.04776582083323532,0.07673526982877896,0.047636497283553306,0.6150059700012207,0.3915915550397056,0.12072665854099748,0.02973367208128373,0.0013842437172305075,0.00023725822919392223,2.27600157989396,0.06851898502739111
TARNet + ZILN + Focal + GTI,-0.184978659506512,0.10173899489453046,-0.1870258936484964,0.10157396712162423,0.26145946979522705,0.5237471881622864,-0.03334532230486207,0.04587700430146746,0.00171692051688308,0.00040000814383474775,5.288111995326148,0.5033221876243037
TARNet + ZILN + Focal + GTI + WR,0.011875359354486609,0.1779107764112644,0.008036756761236257,0.17752603259160463,0.6305418074131012,0.28516852814790195,0.06429425021341996,0.07085608714479395,0.0017705377215190819,0.0002670458719631795,2.2479998608430227,0.045701916009953276
TARNet + UpliftRank,-0.10259367221766898,0.10065858465639473,-0.1052642724428009,0.10062882730401906,0.41480364799499514,0.4243389359661034,-0.00931498782336225,0.061318581622845945,0.0007332603229503007,0.00013750218751079613,192.1551410118739,0.08016214658936868
TARNet + ZILN + UpliftRank,-0.025340990394033824,0.12627984164316733,-0.028611000812868926,0.1253147880330465,0.5916848361492157,0.4543111206345276,0.02958836644665943,0.06896864814339729,0.0013770881727526415,0.0001770014730936482,2.3372046947479252,0.04421263662490404
TARNet + RespRank,-0.05509177112049801,0.11746881059945798,-0.05683986143085751,0.11887296201886062,0.5770970731973648,0.33910327355335795,0.013275150869423703,0.054740419749627005,0.0007309921186162452,0.0001314305494188168,192.18064645131432,0.07596851908833241
TARNet + ZILN + RespRank,-0.05837591692014092,0.11404381020274049,-0.06221817756462731,0.11294744885449938,0.6384214162826538,0.2995230116208652,0.01477187561124565,0.06099681281565723,0.0014504701956078198,0.00022936259568341095,3.614144474930233,0.6271942194939736
TARNet + RERUM,-0.016400398286387168,0.09721704344891693,-0.017595917908029595,0.0983031994955393,0.7388717830181122,0.34530424188390263,0.012778189190899028,0.0550636518163751,0.001385810668621134,0.00013119928622005441,3.8779708186785387,0.35337303056997493
DragonNet,-0.07206008700135674,0.12519673617628851,-0.07494256580833274,0.12439094647159703,0.41239766478538514,0.30756231438593157,0.010415426575074374,0.04970222885459506,0.0008725702543801851,0.00012896769546538506,192.93415693177116,0.024405511931378684
DragonNet + ZILN,-0.10188459136408393,0.1466174252652591,-0.10563587198298252,0.1450984630570263,0.40453522801399233,0.3066259747413847,-0.0092427389414769,0.06027241647924416,0.0018921502268941213,0.0006185565828046919,3.062085783481598,0.0743003522640225
DragonNet + ZILN + Focal,-0.05813691118846052,0.19165377845413867,-0.060156697543266024,0.19138372262687406,0.4052529513835907,0.5384401221301237,0.01519877818253661,0.07212783380034579,0.001566633318036852,0.00014520991576515935,4.123822556601631,0.7230264029838002
DragonNet + ZILN + Focal + WR,-0.12871620048749208,0.12971107860624206,-0.13200379169291068,0.12875185215281781,0.44564826488494874,0.3863243866705112,-0.0050391467599935754,0.05749504676691573,0.0011258395820627491,0.0002007090441053701,3.4484719309541916,0.7130065005374978
DragonNet + ZILN + Focal + GTI,-0.008457566139097844,0.10651738276592941,-0.012034621075809254,0.10662107593592099,0.5937414348125458,0.3463820183970362,0.03826725737447654,0.09035816700966136,0.0014334727837345836,0.00016217288995838396,2.5018823643525443,0.5300819844991033
DragonNet + ZILN + Focal + GTI + WR,-0.037596790781738235,0.13720286548588714,-0.04050057770117223,0.13708193328700144,0.4330919623374939,0.20839102270491194,0.04678473033357766,0.07648920447828865,0.0014695332006373872,0.0002632193083452051,3.7287556548913314,0.5016532071229619
DragonNet + UpliftRank,-0.09977872125033972,0.1493948091109483,-0.1016901540123059,0.14893638002907794,0.3371469259262085,0.4376702969373621,-0.018463867836855583,0.08532606606433142,0.0006670482711464477,4.3894397351236994e-05,192.91764624383714,0.04157820968574178
DragonNet + ZILN + UpliftRank,-0.09451658484157557,0.13348865865731274,-0.0984955332469972,0.13223806664360768,0.43532258868217466,0.2949408755308477,-0.026317536724457746,0.04198184048947459,0.0012505760036072102,0.00014380112151491474,3.061998018953535,0.07937898953243744
DragonNet + RespRank,-0.08007894989089251,0.16383552976948318,-0.08195687957288292,0.1631802925906961,0.288526326417923,0.4430697178635534,-0.009581231055794243,0.09007141525047073,0.000790372608511565,0.00012790285398125843,192.86247244940864,0.11644838258647176
DragonNet + ZILN + RespRank,-0.08152579442304815,0.1380180811471472,-0.08555129394243803,0.13666953269207718,0.40561233162879945,0.3467591910841527,-0.014301053292400185,0.06973991336014898,0.0011942494317436804,0.00018558031926058707,3.0633881489435835,0.07975733491008191
DragonNet + RERUM,0.032367440484761964,0.06201767341875128,0.028302510247721607,0.062459137914015,0.7482808053493499,0.23012353085217352,0.0640196785344371,0.036435399752282535,0.0010995428646224377,0.0001554281288733986,4.023217056857216,0.04351900285345136
CFR-MMD,-0.07506889220366293,0.10150885134506613,-0.07823288647734386,0.10176520481157803,0.5858096480369568,0.4096117010854308,0.009295047902694534,0.07044024322081248,0.0006724970859218798,0.0001376367067213623,192.21117462317153,0.06217329851558652
CFR-MMD + ZILN,-0.09514059300580888,0.155574566898521,-0.09820008010576524,0.1537913104946504,0.39886117577552793,0.4254857336166811,-0.009197662375746712,0.06400884668808925,0.001701976955576659,0.0005193549363587288,2.350681904289458,0.032415613813529885
CFR-MMD + ZILN + Focal,-0.019345081377498834,0.08741529156806921,-0.02239814314229934,0.08799209508339195,0.6332034766674042,0.431772965415346,0.02483566852181491,0.05858394174868855,0.001337862747007749,0.00015619789771753538,3.873635167545742,0.05980955017977802
CFR-MMD + ZILN + Focal + WR,0.08189464089124095,0.134888127574717,0.07948296145976202,0.1357208455764229,0.6819891154766082,0.2870888971191511,0.07650297844135998,0.058900603696002606,0.0012409581003951884,0.00024719543335816063,2.308492731385761,0.06639679794484418
CFR-MMD + ZILN + Focal + GTI,-0.20312158527614804,0.09342922407350403,-0.20546338865614922,0.09284899950434267,0.19517603516578674,0.455894990710456,-0.05178508483021384,0.05487363853273764,0.0014520181773610206,0.00023259403230991153,3.254684019088745,0.10391720162464618
CFR-MMD + ZILN + Focal + GTI + WR,-0.1218909190198508,0.06713856441213675,-0.12688730434541445,0.06553018905988599,0.40543883442878725,0.22719883810522487,0.016344667248378787,0.037371464968423404,0.0014433540907568575,0.00019845871367504939,2.3583126041624283,0.09353263696903535
CFR-MMD + UpliftRank,-0.112816404231073,0.10770124538985554,-0.11637882202453524,0.10632277942603645,0.2325394868850708,0.5187433761984281,-0.004171709511882666,0.04473176077161339,0.0006627117100873373,0.00011460297352364702,192.16661607954237,0.060802353978291604
CFR-MMD + ZILN + UpliftRank,0.09251605100647364,0.10855909598517463,0.08827295492263385,0.1095695666429087,0.7964847564697266,0.24694929004251023,0.06465421796676521,0.05772903907953511,0.0013009660021057398,0.00027672649676471875,2.643308175272412,0.5257758254247096
CFR-MMD + RespRank,-0.02304178721137081,0.09532397512867205,-0.026199264332602095,0.09338504165553864,0.5116983532905579,0.4674084894857169,0.015020036986067362,0.05842673977175572,0.000698040320563288,0.00013218582550816326,192.20356190999345,0.04898985489492584
CFR-MMD + ZILN + RespRank,-0.06641538774819397,0.1166194489633874,-0.07001644831825095,0.11617478561625155,0.6873571097850799,0.3393980588411434,0.005405130806366003,0.056951485054547356,0.0012737974090247977,0.00010710674336445705,3.5216732515229117,0.7153727687699947
CFR-MMD + RERUM,-0.014812431517832559,0.0957630694223709,-0.019938035883074988,0.0953165118725441,0.6184677362442017,0.2955497036481264,0.01603741364391042,0.048700946979522965,0.0012426310832535762,0.00025019935794134073,3.0440782037046223,0.7331679000199248
CFR-WASS,-0.13248072232998737,0.09457412917970949,-0.13531841267720104,0.09429926783409912,0.291928368806839,0.42944989440719816,-0.02152652554634489,0.044152709634056334,0.0006816260669364502,0.0001231954472400707,192.26857051584454,0.01673733292218053
CFR-WASS + ZILN,-0.11717942478275276,0.14590119827878287,-0.11993977157799332,0.1447716840244873,0.20760365724563598,0.2859326707785247,-0.020670292091227817,0.0855702939768303,0.0015890027266264046,0.00011720147039472238,2.5664331581857467,0.04222844687450888
CFR-WASS + ZILN + Focal,-0.0739925734952663,0.15911502928400145,-0.07479424030659179,0.15997181107261949,0.7029554128646851,0.471424160386315,0.015464533190783041,0.07611981306787242,0.001335171042488992,0.0001844134345233327,2.4002525164021384,0.5177322441636265
TARNet + UpliftRank + RespRank,-0.050488118484091606,0.12128450638265706,-0.05414954032476003,0.12094770644803214,0.5258420169353485,0.36991864465344054,0.024917688483402544,0.09082010168576184,0.0007184703243336484,8.886126428666543e-05,192.18009686470032,0.06292818617338859
DragonNet + UpliftRank + RespRank,-0.14829623293006855,0.09606785424567964,-0.1522717351355117,0.09553738702754391,0.40094244480133057,0.45352928883438337,-0.02559714498613379,0.04773856926331974,0.0006025189837584516,6.506984369242947e-05,192.8005795319875,0.14358124491013147
CFR-MMD + UpliftRank + RespRank,-0.08736110750904418,0.10774310283959018,-0.0903525033916354,0.10872446515955773,0.5404078185558319,0.4228984026386568,-0.00030671780112543343,0.06972183160633494,0.0006538834515840414,0.00012101005252350162,192.16976824601488,0.07619247999569677
CFR-WASS + ZILN + Focal + WR,-0.060030592711608724,0.11113285741201981,-0.06275537034711201,0.11161088843713218,0.47478721141815183,0.26794133486628585,0.04146436467520974,0.06655924113621924,0.0012532938989319137,0.00015834376051641563,2.7134795407454173,0.6547340351404954
CFR-WASS + ZILN + Focal + GTI,-0.0007867793296719994,0.07197409706948105,-0.00378826786294974,0.07178570417562202,0.6647906005382538,0.20606345435571552,0.06749852696494427,0.047247743496157756,0.0014726400288296712,0.00013666737397370537,2.2469337695174745,0.016854696743405173
CFR-WASS + ZILN + Focal + GTI + WR,0.014170388051353788,0.11053359857716172,0.01116270345235471,0.10984805320259527,0.5999696791172028,0.4796481181171178,0.06952984265277214,0.07208087191161612,0.0014628008668907972,0.00023108771795880142,2.5423283471001517,0.6752011431316961
CFR-WASS + UpliftRank,-0.050304268194418,0.09987112466243281,-0.05204536797094903,0.09904102989023743,0.4699976146221161,0.38006078521427994,-0.002136211010490848,0.047280061672848074,0.0006445812390422623,8.20226306399835e-05,192.27609020868937,0.030491231743391696
CFR-WASS + UpliftRank + RespRank,-0.06652575388731005,0.12638819438397733,-0.06859455704644458,0.12680799992193834,0.39113533198833467,0.37518584520671344,-0.026447105876109822,0.08348628391421732,0.0007007454972345975,0.00010312235650016861,192.23816048569148,0.09754957634548331
CFR-WASS + ZILN + UpliftRank,-0.0881254221697258,0.1648174570749722,-0.08922270736856394,0.16551246409606818,0.44482293725013733,0.28839009659492015,0.004311093987122672,0.08964668199814872,0.0013459321590046827,0.00019930958459239687,2.577814304828644,0.5318202926440647
CFR-WASS + RERUM,0.03103868923126053,0.14054778472593116,0.030879323977352314,0.14374272847241776,0.5449958205223083,0.20784947371635362,0.06026972987808353,0.08959684428828617,0.0014535261269470992,0.00018811807871127364,4.990324930349986,0.32077261018202974
EFIN,0.10136390340499815,0.1402836469744548,0.09629679479431374,0.1416608776164381,0.9947220802307128,0.3035896410269029,0.061014633412324146,0.05484290064179451,0.0014097442093914101,0.0002570066181916982,384.7412032445271,0.054545688518622036
EFIN + ZILN,-0.08552287265843846,0.12825377827534556,-0.08811930117125635,0.12820857989066684,0.2771274268627167,0.35189866148389337,,,0.0017301476394846736,0.0002266971286624951,277.42093632353675,0.33765129855324955
EFIN + ZILN + Focal,-0.009844307414310038,0.18729441780572567,-0.013374571412425823,0.1877980276958628,0.511352676153183,0.6178353399821653,0.01503343088980627,0.07991941600136146,0.0016945109726832328,0.00012130323614306506,277.52947092056274,0.5213595366737668
