Model,auuc_mean,auuc_std,qini_mean,qini_std,lift_30_mean,lift_30_std,krcc_mean,krcc_std,latency_ms_mean,latency_ms_std
TARNet,0.06752724539786976,0.07674882593525899,0.06425114218123414,0.07612031200270705,0.6160577774047852,0.28288969895271165,0.10146747777598022,0.05110003471011706,0.0007267031912359514,7.117142145019954e-05TARNet + ZILN,-0.061606174576840325,0.11500611306289087,-0.06508037104019662,0.11433785087800591,0.39161378145217896,0.27119786170908317,0.04651493506228879,0.04648642403468414,0.0012382702801443128,0.00013272948303410555
TARNet + ZILN + Focal,-0.1375767570434338,0.0905664216606943,-0.13886907064304316,0.09047253107105485,0.3555093228816986,0.25571348283779427,0.008155032561610343,0.05097030539106087,0.0012869947789317135,0.0001454883682251453
TARNet + ZILN + Focal + WR,-0.05954090325697183,0.09713905998302214,-0.06210425198297037,0.09573155562826201,0.32164973616600034,0.33573664246698787,0.02177971915415716,0.06491620709312175,0.0013451185377157638,0.00011023029827084691
TARNet + ZILN + Focal + GTI,-0.10223943618979332,0.15805809055982542,-0.10285263079837485,0.157170783143288,0.48776561617851255,0.32176150473314596,0.0001863142575730191,0.08270439584037367,0.0019919329698198885,0.0005036094173759007
TARNet + ZILN + Focal + GTI + WR,0.014136201233624312,0.13338420964167275,0.013409948254651149,0.13308669761969588,0.47403864562511444,0.48679129508381225,0.004144829230665502,0.050821746985118425,0.0016249970313375703,0.0002748190699327699
TARNet + UpliftRank,0.0705208209282244,0.07632129241258225,0.06723342858031135,0.0757476445141664,0.6415850877761841,0.2664954412837352,0.09069344766084786,0.041776992306335047,0.0007009500057626139,6.368969755462809e-05
TARNet + UpliftRank + RespRank,0.07053029772092476,0.07633648395903311,0.06724220555671609,0.07575992797230327,0.6418279528617858,0.266741694924034,0.09048680527103403,0.041817515801324645,0.0007203370529799624,6.434012207309832e-05
TARNet + ZILN + UpliftRank,-0.10910093632764908,0.11679078724444619,-0.11143064107649818,0.11658659012885808,0.26880955696105957,0.5029919675553043,0.010876959267408651,0.06169415818250778,0.0012974535019327535,0.00015916817955276833
TARNet + RERUM,-0.033152439587491325,0.09332152822747163,-0.035831334759135684,0.09230726202415193,0.5069419860839843,0.2779408425884019,0.03178619556289378,0.060834444354035976,0.0013072007157572036,0.0001865473611933584
DragonNet,0.035618132440432805,0.10107936319409823,0.032613473160193446,0.10026993519993523,0.5730876803398133,0.34834379158007833,0.08951689918153943,0.035836925685144634,0.0008026709728776877,0.000127403197346713
DragonNet + ZILN,-0.06651859302812631,0.11806272405328963,-0.07008581244442143,0.1170850118245025,0.42142348885536196,0.31479940118675753,0.043190935344720495,0.06553077188881094,0.0013612214829486964,0.00017308080676545722
DragonNet + ZILN + Focal,-0.12473810147835367,0.08502651521258552,-0.12651162271254385,0.0848756268282192,0.4045337617397308,0.25315823073387966,-0.0016761135658675777,0.050316025041900886,0.0012887198167535786,0.00014474297981125248
DragonNet + ZILN + Focal + WR,-0.08376570993794234,0.17287231225670757,-0.0860885700109922,0.17122674345017633,0.37766539454460146,0.44789531222167245,0.005659112677643985,0.0755176839386844,0.001231020614620847,0.00023318705077172945
DragonNet + ZILN + Focal + GTI,-0.17747755718967198,0.09635810529153685,-0.17741579120200374,0.09679183937971439,0.21986607313156128,0.11800237015292432,-0.05727046210388631,0.03599271994657817,0.0017791125777206717,0.0004681270655954723
DragonNet + ZILN + Focal + GTI + WR,-0.011210286661031743,0.12657444543940644,-0.012068948374949966,0.12581463973372561,0.5420754820108413,0.3451884899412838,-0.01016463976543928,0.07678412155728866,0.0014883010560787285,0.00014992278138330583
DragonNet + UpliftRank,0.0382621639289878,0.10131658299575765,0.03530787396858086,0.10052833589275673,0.6202133059501648,0.3562364671955813,0.09139280173018755,0.025689299189629783,0.0007218361137977976,0.00012700157412566426
DragonNet + UpliftRank + RespRank,0.03825683153558578,0.10130648141990554,0.03530476238036657,0.10051753896011775,0.6206422805786133,0.3562818892110246,0.09129163774484993,0.02568843772454756,0.0007371835625798695,0.00010867844334520533
DragonNet + ZILN + UpliftRank,-0.09246980488304779,0.09935320912563385,-0.09489634430473656,0.098608065292341,0.3809637427330017,0.3266876160592561,0.025182715636632574,0.0778261237258764,0.00134966775812033,0.00015690686243798388
DragonNet + RERUM,-0.08320388064298716,0.09184110160037992,-0.08575624809331839,0.09098329617865615,0.47250922918319704,0.3166763827945065,0.021789875384833825,0.04156296964070541,0.0013200805472468693,0.00021167853106850477
CFR-MMD,0.06488274870250745,0.07415320726415854,0.061585406675682366,0.07359281167737307,0.6119832515716552,0.29568922992705887,0.09610887717016998,0.03396018526459963,0.0007472479646183609,0.00011487461986375785
CFR-MMD + ZILN,-0.05287784721745279,0.11433997895121183,-0.05626043752234122,0.11354477803851433,0.5108922004699707,0.2879701919109076,0.03797758699657651,0.04130953519852151,0.0012693232549603301,7.169000669654471e-05
CFR-MMD + ZILN + Focal,-0.13674537976464635,0.08934583702332793,-0.13804435073847154,0.089197505570919,0.33869766592979433,0.2394699103294435,0.0033423066746917683,0.05226902233477263,0.0012701964097838077,0.0001137070401751821
CFR-MMD + ZILN + Focal + WR,-0.061339002153421696,0.08098888236899056,-0.06368185995156304,0.07971216119862766,0.31767719984054565,0.3753694785786403,0.02271536199798662,0.06590083373060034,0.0011496889712019622,0.00015912474373798655
CFR-MMD + ZILN + Focal + GTI,-0.1381146719923171,0.0517430497071028,-0.1385547460592873,0.05145116534317844,0.3478141903877258,0.22253502908207773,-0.01403355343495262,0.05259162030760189,0.0013054952827696472,0.00020556901795875429
CFR-MMD + ZILN + Focal + GTI + WR,-0.03365676652287293,0.17658719474350476,-0.035022388030901075,0.17448446433343895,0.5064245462417603,0.4167854806569938,0.011970727753041123,0.09641666506878915,0.0014157567519866015,0.00019715626542107917
CFR-MMD + UpliftRank,0.0670682892859614,0.07566857622548524,0.06383403981232122,0.07506660634638818,0.6602402687072754,0.27079912426407216,0.08731503737524174,0.03913934419201953,0.0006070155578394552,5.5504848716971156e-05
CFR-MMD + UpliftRank + RespRank,0.06707018539659965,0.07566262159264862,0.06384297113752493,0.07506648113712015,0.6602402687072754,0.27079912426407216,0.08791685469222368,0.03844932380776232,0.0005559920099812272,5.7597474661704965e-05
CFR-MMD + ZILN + UpliftRank,-0.10482359495787097,0.11387145712513068,-0.10719872803921959,0.11357441374417915,0.2986128807067871,0.394564540812768,0.00039124102627902184,0.049689643571480896,0.001105831421287748,0.00013163175678246878
CFR-MMD + RERUM,-0.04599761610453003,0.09485184368912856,-0.04856150650795965,0.09400195303077159,0.4953749477863312,0.3122231676793973,0.023597386236246264,0.06438051558600376,0.0010326368998732648,0.00013639138710665354
CFR-WASS,0.04657253344263526,0.04796240696592829,0.044070925045466953,0.04817893265966052,0.7184771299362183,0.23191333202930106,0.08617835938417193,0.03911935057076358,0.000625588583971773,0.00012167657191698223
CFR-WASS + ZILN,-0.08004340935695378,0.06424891757187053,-0.08183885139240414,0.06488290966077058,0.3255699634552002,0.3062998320930863,0.01859988268176922,0.02812124520639777,0.0011809472719966816,0.00010637609373217384
CFR-WASS + ZILN + Focal,-0.035125440979075634,0.048006961368639404,-0.03667470449388158,0.04826542553547136,0.4811477422714233,0.41582417697499235,0.0197174248775665,0.03227448395351017,0.0011204063238639814,9.603001172212142e-05
CFR-WASS + ZILN + Focal + WR,-0.025465119294238076,0.09901152905754017,-0.026705350271570526,0.09937035004975746,0.3084186792373657,0.23469902194671763,-0.0019525646189843871,0.03703682855913969,0.0012298134579576334,0.00011965847764000352
CFR-WASS + ZILN + Focal + GTI,-0.022918199406414135,0.13561654265441536,-0.023300823574507266,0.13526267587599053,0.47332733273506167,0.31152545980683427,0.005171482622303817,0.0759851037711158,0.001552254160147325,0.00018364744954538955
CFR-WASS + ZILN + Focal + GTI + WR,-0.03194091206105439,0.14493774440865945,-0.03203213284312459,0.14452081987043708,0.47774453163146974,0.3272517242298858,-0.0038739000695339233,0.07418702855579176,0.0014651632284666135,0.00017861611879263037
CFR-WASS + UpliftRank,0.04776780594575442,0.048361557467938056,0.04527095649398999,0.04857508610246052,0.7297374367713928,0.24102122259053688,0.08154149320745144,0.04750415416915249,0.0006843864721803679,0.00010634022566294296
CFR-WASS + UpliftRank + RespRank,0.047887156387614004,0.04821923626709124,0.0453926387550211,0.04843526106841928,0.7301371097564697,0.24014608918042074,0.08241564085107109,0.048023818650461216,0.0006389093272242158,9.040604285081268e-05
CFR-WASS + ZILN + UpliftRank,-0.07405829622121682,0.060740891297288754,-0.07620111282797923,0.06026240190531658,0.5381559580564499,0.2912672698350351,0.01569427203357219,0.02774763970949687,0.0012383236881318138,0.0001239642159320992
CFR-WASS + RERUM,-0.08934142416900806,0.06702502751946862,-0.09143448153177054,0.06707464460166183,0.39721026420593264,0.3013832926342794,0.021487773276933485,0.04015970621554208,0.0011501912239058627,9.460158007648519e-05
EFIN,0.19331269880064936,0.056076186420988515,0.1907935123065405,0.056155451225780854,0.9587195038795471,0.341688900165936,0.12765237941113133,0.023065312001474682,0.001235764437359426,0.0001249598923838081
EFIN + ZILN,0.1856341436538101,0.02699551695140213,0.18149564376128705,0.02690083076966775,1.2186306953430175,0.25858503876945726,0.12897272458399428,0.03127852073340974,0.0016783010324666944,0.00011165918083383389
EFIN + ZILN + Focal,0.17558347187256249,0.037503958811792526,0.1715303778775753,0.03732480174301993,1.0873304605484009,0.38406320768935154,0.1344896937769492,0.02576457370856616,0.001699839070753942,0.00014730892274301236DragonNet + ZILN + Focal + GTI + WR,-0.021465860380465836,0.11023426958482276,-0.023463749796727985,0.10926278409458708,0.5251696527004241,0.22878760130778772,0.022106577901050563,0.048748497306491854,0.0017758509486535162,0.00036288597762490363
DragonNet + ZILN + Focal + GTI + WR,-0.03350532991774423,0.14004519335488924,-0.03526248722553811,0.13878931492818775,0.4441862881183624,0.21934222247673643,0.005375356970655026,0.05388148025621379,0.0015412936464140447,0.00011846471282933356
DragonNet + ZILN + Focal + GTI + WR,-0.021465860380465836,0.11023426958482276,-0.023463749796727985,0.10926278409458708,0.5251696527004241,0.22878760130778772,0.022106577901050563,0.048748497306491854,0.0014976692883376258,0.00015007690662250555
DragonNet + ZILN + Focal,-0.11426009908069987,0.07952762588241848,-0.11530775064008118,0.07882260404163095,0.33746856153011323,0.22241972157357132,-0.0009071457425906968,0.07341689282270857,0.0013329036954583175,0.00013096477821014757
DragonNet,-0.01056472011806452,0.10777875404663921,-0.013452973774230414,0.10770729868109455,0.35292157530784607,0.4280197090698719,0.0872754292704915,0.03253875135484469,0.0007946556752289084,0.00010470824979017066
DragonNet,0.035618132440432805,0.10107936319409823,0.032613473160193446,0.10026993519993523,0.5730876803398133,0.34834379158007833,0.08951689918153943,0.035836925685144634,0.0008118416363377552,6.932789456985852e-05
DragonNet,0.11271428794118846,0.10540570359118945,0.1096281528338783,0.10459976517013911,0.7903016984462738,0.3600913461965824,0.09237857422030896,0.0325230536001109,0.0008455628040090953,0.00010384805118807475
DragonNet,0.1759376790245311,0.11095124192720451,0.17521027111774715,0.11183555521544243,0.9126580595970154,0.635176128177979,0.12707793971720713,0.047688841821266106,0.0007718950852318578,6.360255472966569e-05
DragonNet + ZILN,-0.0186407418976239,0.17736029465817155,-0.023395120320111984,0.17675429699628842,0.4219395875930786,0.4340412009563525,0.0780800387066073,0.05988275120442138,0.0012949402792914475,0.00011270124838966355
DragonNet + ZILN,-0.06651859302812631,0.11806272405328963,-0.07008581244442143,0.1170850118245025,0.42142348885536196,0.31479940118675753,0.043190935344720495,0.06553077188881094,0.0013144607582491993,0.00011756556840003115
DragonNet + ZILN,0.04618673260789151,0.2413361283929931,0.042499922412712283,0.23927723619954347,0.6549282193183898,0.5795830833654636,0.029299951713756784,0.112050990372812,0.0011946565144211596,0.00010194829766147078
DragonNet + ZILN,-0.1128489660880299,0.13574321595338812,-0.11624426981316668,0.13446377568583956,0.44976058006286623,0.45637497440169755,0.029124809913304645,0.04949441369561394,0.0013087964726260773,0.00019438919361925789
DragonNet + ZILN,-0.18950399133396845,0.16461963236826752,-0.19293746870342687,0.1633967168347294,0.2853347212076187,0.5311655589295761,-0.011669037789262704,0.0898761767609036,0.0014043152469168695,0.00013399432441089926
DragonNet + ZILN,-0.12152095123859316,0.13355412789028578,-0.12406710280907192,0.1326431477069075,0.32578723430633544,0.3680769971281073,0.029085525292148678,0.06945353410763347,0.0013124019909131267,0.00011916844476172226
DragonNet + ZILN,-0.18587235924851497,0.11465770131125974,-0.18720118354265805,0.11465270665287018,0.19326426088809967,0.3018888903040172,-0.027522664961608195,0.06041440857811245,0.0013529090128841638,0.00013679541140536504
